1,2899,5.0
1,2916,4.0
1,2944,5.0
1,2947,5.0
1,2948,5.0
1,2949,5.0
1,2959,5.0
1,2985,4.0
1,2987,5.0
1,2991,5.0
1,2993,5.0
1,2997,4.0
1,3033,5.0
1,3034,5.0
1,3052,5.0
1,3053,5.0
1,3062,4.0
1,3147,5.0
1,3168,4.0
1,3176,1.0
1,3243,3.0
1,3247,3.0
1,3253,5.0
1,3273,5.0
1,3386,5.0
1,3439,4.0
1,3440,4.0
1,3441,5.0
1,3448,5.0
1,3450,5.0
1,3479,4.0
1,3489,4.0
1,3527,4.0
1,3578,5.0
1,3617,4.0
1,3639,4.0
1,3671,5.0
1,3702,5.0
1,3703,5.0
1,3729,5.0
1,3740,4.0
1,3744,4.0
1,3793,5.0
1,3809,4.0
1,4006,4.0
1,5060,5.0
2,112552,4.0
2,114060,2.0
2,115713,3.5
2,122882,5.0
2,131724,5.0
3,6238,0.5
3,6835,5.0
3,7899,4.5
3,7991,5.0
3,26409,4.5
3,70946,5.0
3,72378,0.5
4,3365,5.0
4,3386,4.0
4,3408,4.0
4,3481,2.0
4,3489,1.0
4,3508,5.0
4,3538,2.0
4,3591,1.0
4,3788,3.0
4,3809,3.0
4,3851,5.0
4,3897,4.0
4,3911,3.0
4,3967,4.0
4,3996,4.0
4,4002,3.0
4,4014,1.0
4,4020,3.0
4,4021,4.0
4,4027,3.0
4,4029,3.0
4,4033,4.0
4,4034,5.0
4,4074,3.0
4,4121,4.0
4,4144,3.0
4,4166,3.0
4,4226,2.0
4,4239,5.0
4,4246,4.0
4,4252,3.0
4,4260,2.0
4,4273,4.0
4,4308,1.0
4,4347,4.0
4,4381,3.0
4,4641,1.0
4,4741,3.0
4,4765,5.0
4,4881,3.0
4,4896,4.0
4,4902,4.0
4,4967,5.0
5,589,3.0
5,590,5.0
5,592,3.0
5,594,5.0
5,595,5.0
5,596,5.0
5,597,3.0
5,608,3.0
6,596,3.0
6,597,4.0
6,606,3.0
6,608,3.0
6,609,4.0
6,616,5.0
6,628,3.0
6,631,4.0
6,637,4.0
6,640,1.0
6,647,4.0
6,662,3.0
6,667,3.0
6,694,3.0
6,697,3.0
6,700,4.0
6,704,3.0
6,708,4.0
6,709,5.0
6,710,3.0
6,711,4.0
6,719,2.0
6,736,5.0
6,747,3.0
6,762,1.0
6,765,3.0
6,775,3.0
6,780,5.0
6,783,5.0
6,795,3.0
6,799,3.0
6,801,3.0
6,802,4.0
6,818,3.0
6,830,5.0
6,835,4.0
6,837,3.0
6,838,4.0
6,839,3.0
6,842,3.0
6,848,4.0
6,852,4.0
6,867,3.0
6,880,3.0
6,881,3.0
6,888,3.0
6,891,3.0
6,979,3.0
6,981,3.0
6,986,4.0
6,991,4.0
6,996,4.0
6,999,2.0
6,1004,4.0
6,1006,4.0
6,1042,3.0
6,1049,5.0
6,1061,4.0
6,1064,4.0
6,1073,3.0
6,1082,4.0
6,1084,3.0
7,8984,4.0
7,27741,3.0
7,30812,3.5
7,30816,2.0
7,31878,3.5
7,32029,2.0
7,32031,1.5
7,32296,2.0
7,32587,3.5
7,33162,3.5
7,33493,1.0
7,33794,2.0
7,33836,1.0
7,34048,3.0
7,34319,4.5
7,37741,3.5
7,38388,3.5
7,42002,4.5
7,45499,4.0
7,45517,4.5
7,45668,1.0
7,45730,0.5
7,46530,1.0
7,48516,1.0
7,48783,4.5
7,48997,2.5
7,49272,4.5
7,49278,3.5
7,49286,0.5
7,49824,3.0
8,500,2.0
8,527,5.0
8,539,3.0
8,586,3.0
8,587,3.0
8,590,5.0
8,592,3.0
8,593,4.0
8,597,3.0
9,5893,4.0
9,5902,5.0
9,5952,5.0
9,5956,4.0
9,5962,1.0
9,5965,4.0
9,5988,2.0
9,6001,4.0
9,6044,2.0
10,94070,4.5
10,95167,4.0
10,95449,4.0
10,95510,3.0
10,95543,3.5
10,96079,5.0
10,97024,0.5
10,97938,1.0
10,98203,3.0
10,103335,4.0
10,103339,4.0
10,104374,4.0
10,105211,2.5
10,106489,3.5
10,106696,4.5
10,106782,1.0
10,107141,2.0
10,109374,0.5
10,109487,0.5
10,109853,4.0
10,112006,4.0
10,113275,4.5
10,113394,4.0
10,119145,1.0
10,129428,3.5
10,136020,5.0
10,137595,4.0
10,140110,5.0
11,1693,5.0
11,1704,4.0
11,1721,5.0
11,1784,5.0
11,1840,4.0
11,1882,2.0
11,1917,4.0
11,1918,4.0
11,1923,4.0
11,2002,2.0
11,2027,3.0
11,2028,5.0
12,4018,4.5
12,5620,4.0
12,6942,5.0
12,8533,5.0
12,40629,5.0
12,63992,5.0
13,3897,4.0
13,3952,3.0
13,3977,3.0
13,3996,5.0
13,4011,5.0
13,4148,4.0
14,540,3.0
14,552,3.0
14,553,4.0
14,586,3.0
14,590,4.0
14,592,2.0
14,593,4.0
